Time ,cost/client/h ,cpuUsage ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:41:21 UTC 2014,0.0029,54.7,8,,
Wed Feb 12 16:41:41 UTC 2014,0.0021,52.85,8,,
Wed Feb 12 16:41:46 UTC 2014,0.0021,52.85,8,,
Wed Feb 12 16:41:58 UTC 2014,0.06,75.4,8,,
Wed Feb 12 16:42:14 UTC 2014,0.06,75.4,8,,
Wed Feb 12 16:42:33 UTC 2014,0.0039,74.1,8,,
Wed Feb 12 16:42:42 UTC 2014,0.0039,74.1,8,,
Wed Feb 12 16:42:59 UTC 2014,0.0175,65.3,8,,
Wed Feb 12 16:43:10 UTC 2014,0.0175,65.3,8,,
Wed Feb 12 16:43:28 UTC 2014,0.0175,65.3,8,,
Wed Feb 12 16:43:40 UTC 2014,0.1371,80,8,,
Wed Feb 12 16:43:48 UTC 2014,0.1371,80,8,,
Wed Feb 12 16:43:54 UTC 2014,0.1371,80,8,,
Wed Feb 12 16:44:02 UTC 2014,0.96,62.2,8,,
Wed Feb 12 16:44:16 UTC 2014,0.0052,49.95,8,,
Wed Feb 12 16:44:24 UTC 2014,0.0052,49.95,8,,
Wed Feb 12 16:44:33 UTC 2014,0.0052,49.95,8,,
Wed Feb 12 16:44:44 UTC 2014,0.002,52.6,8,,
Wed Feb 12 16:44:57 UTC 2014,0.002,52.6,8,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:13 UTC 2014,0.002,52.6,8,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:24 UTC 2014,0.002,52.6,8,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:32 UTC 2014,0.0055,56.9,8,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:42 UTC 2014,0.0055,56.9,8,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:52 UTC 2014,0.0043,50.25,8,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:46:03 UTC 2014,0.0043,50.25,8,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:46:21 UTC 2014,0.0144,47.9,9,,
Wed Feb 12 16:46:33 UTC 2014,0.0144,47.9,9,,
Wed Feb 12 16:46:43 UTC 2014,0.0108,50.55,9,,
Wed Feb 12 16:46:56 UTC 2014,0.0108,50.55,9,,
Wed Feb 12 16:47:05 UTC 2014,0.0096,54.05,9,,
Wed Feb 12 16:47:14 UTC 2014,0.0096,54.05,9,,
Wed Feb 12 16:47:21 UTC 2014,0.0096,54.05,9,,
