Time ,cost ,responseTime ,throughput ,activeConnections,numberOfVMs , ongoingAction,actionTarget
Wed Feb 12 16:24:42 UTC 2014,0.48,6.6667,175,273,4,,
Wed Feb 12 16:24:48 UTC 2014,0.48,5.6667,165,269,4,,
Wed Feb 12 16:25:04 UTC 2014,0.48,5.3333,238,166,4,,
Wed Feb 12 16:25:14 UTC 2014,0.48,5.3333,238,166,4,,
Wed Feb 12 16:25:25 UTC 2014,0.48,6.3333,192,78,4,,
Wed Feb 12 16:25:40 UTC 2014,0.48,5.3333,216,139,4,,
Wed Feb 12 16:25:49 UTC 2014,0.48,5.3333,216,139,4,,
Wed Feb 12 16:26:01 UTC 2014,0.48,5.3333,216,139,4,,
Wed Feb 12 16:26:18 UTC 2014,0.48,6,164,32,4,,
Wed Feb 12 16:26:29 UTC 2014,0.48,6,164,32,4,,
Wed Feb 12 16:26:37 UTC 2014,0.48,0,0,0,4,,
Wed Feb 12 16:26:51 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:27:05 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:27:20 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:27:31 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:27:48 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:28:03 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:28:15 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:28:32 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:28:44 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:28:58 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:29:10 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:29:22 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:29:36 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:29:48 UTC 2014,0.48,0,0,0,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:30:07 UTC 2014,0.48,8.6667,178,30,4,DataNodeServiceUnit_scaleIn,
Wed Feb 12 16:30:18 UTC 2014,0.48,8.6667,178,30,4,,
Wed Feb 12 16:30:32 UTC 2014,0.48,9,221,51,4,,
Wed Feb 12 16:30:42 UTC 2014,0.48,9,221,51,4,,
Wed Feb 12 16:30:58 UTC 2014,0.48,9,221,51,4,,
Wed Feb 12 16:31:09 UTC 2014,0.48,7.3333,281,332,4,,
Wed Feb 12 16:31:14 UTC 2014,0.48,7.3333,281,332,4,,
Wed Feb 12 16:31:25 UTC 2014,0.48,6.6667,304,444,4,,
Wed Feb 12 16:31:39 UTC 2014,0.48,4,6,29,4,,
Wed Feb 12 16:31:55 UTC 2014,0.48,4,6,29,4,,
Wed Feb 12 16:32:04 UTC 2014,0.48,6,269,182,4,,
Wed Feb 12 16:32:16 UTC 2014,0.48,6,269,182,4,,
Wed Feb 12 16:32:27 UTC 2014,0.48,6,269,182,4,,
Wed Feb 12 16:32:33 UTC 2014,0.48,4.3333,286,214,4,,
Wed Feb 12 16:32:50 UTC 2014,0.48,7.6667,230,186,4,,
Wed Feb 12 16:33:04 UTC 2014,0.48,6.6667,161,305,4,,
Wed Feb 12 16:33:13 UTC 2014,0.48,6.6667,161,305,4,,
Wed Feb 12 16:33:24 UTC 2014,0.48,7,330,464,4,,
Wed Feb 12 16:33:37 UTC 2014,0.48,7,330,464,4,,
Wed Feb 12 16:33:44 UTC 2014,0.48,4.3333,81,226,4,,
Wed Feb 12 16:34:00 UTC 2014,0.48,4.3333,81,226,4,,
Wed Feb 12 16:34:07 UTC 2014,0.48,7.3333,31,154,4,,
Wed Feb 12 16:34:24 UTC 2014,0.48,7.3333,31,154,4,,
Wed Feb 12 16:34:37 UTC 2014,0.48,6.6667,320,29,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:34:54 UTC 2014,0.48,4.3333,260,79,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:35:08 UTC 2014,0.48,4.3333,260,79,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:35:20 UTC 2014,0.48,12.6667,244,37,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:35:33 UTC 2014,0.48,12.6667,244,37,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:35:46 UTC 2014,0.48,6,176,219,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:35:58 UTC 2014,0.48,6,176,219,4,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:36:11 UTC 2014,0.6,4,159,212,5,,
Wed Feb 12 16:36:24 UTC 2014,0.6,4,159,212,5,,
Wed Feb 12 16:36:34 UTC 2014,0.6,5.6667,96,10,5,,
Wed Feb 12 16:36:47 UTC 2014,0.6,1.75,17,0,5,,
Wed Feb 12 16:37:00 UTC 2014,0.6,1.75,17,0,5,,
Wed Feb 12 16:37:14 UTC 2014,0.6,1.75,17,0,5,,
Wed Feb 12 16:37:29 UTC 2014,0.6,1.75,17,0,5,,
Wed Feb 12 16:37:36 UTC 2014,0.6,-0.25,-1,0,5,,
Wed Feb 12 16:37:48 UTC 2014,0.6,4.5,98,171,5,,
Wed Feb 12 16:38:00 UTC 2014,0.6,5.75,230,12,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:38:21 UTC 2014,0.6,5.75,230,12,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:38:33 UTC 2014,0.6,5.75,230,12,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:38:45 UTC 2014,0.6,7.5,272,291,5,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:38:59 UTC 2014,0.6,7.5,277,106,6,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:39:14 UTC 2014,0.72,7,277,106,6,,
Wed Feb 12 16:39:22 UTC 2014,0.72,7,277,106,6,,
Wed Feb 12 16:39:35 UTC 2014,0.72,7,277,106,6,,
Wed Feb 12 16:39:51 UTC 2014,0.72,7.5,4,49,6,,
Wed Feb 12 16:40:06 UTC 2014,0.72,7.8,347,331,6,,
Wed Feb 12 16:40:14 UTC 2014,0.72,7.8,347,331,6,,
Wed Feb 12 16:40:24 UTC 2014,0.72,6.8,202,310,6,,
Wed Feb 12 16:40:36 UTC 2014,0.72,6.8,202,310,6,,
Wed Feb 12 16:40:52 UTC 2014,0.72,6.8,202,310,6,,
Wed Feb 12 16:41:08 UTC 2014,0.72,8.6,335,335,6,,
Wed Feb 12 16:41:20 UTC 2014,0.72,8.6,335,335,6,,
Wed Feb 12 16:41:27 UTC 2014,0.72,8.6,335,335,6,,
Wed Feb 12 16:41:34 UTC 2014,0.72,7.4,339,452,6,,
Wed Feb 12 16:41:43 UTC 2014,0.72,7.4,339,452,6,,
Wed Feb 12 16:41:50 UTC 2014,0.72,1.4,1,16,6,,
Wed Feb 12 16:42:07 UTC 2014,0.72,1.4,1,16,6,,
Wed Feb 12 16:42:18 UTC 2014,0.72,1.4,1,16,6,,
Wed Feb 12 16:42:27 UTC 2014,0.72,1.4,1,16,6,,
Wed Feb 12 16:42:33 UTC 2014,0.72,3.2,56,244,6,,
Wed Feb 12 16:42:41 UTC 2014,0.72,3.2,56,244,6,,
Wed Feb 12 16:42:48 UTC 2014,0.72,7.2,258,55,6,,
