Time ,cost ,responseTime ,throughput ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:28:05 UTC 2014,0.36,0,0,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:19 UTC 2014,0.36,0,0,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:36 UTC 2014,0.36,0,0,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:48 UTC 2014,0.36,0,0,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:01 UTC 2014,0.36,0,0,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:12 UTC 2014,0.36,0,0,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:24 UTC 2014,0.36,0,0,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:39 UTC 2014,0.36,0,0,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:50 UTC 2014,0.36,0,0,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:30:03 UTC 2014,0.36,8.6667,178,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:30:14 UTC 2014,0.36,8.6667,178,3,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:30:29 UTC 2014,0.36,8.6667,178,3,,
Wed Feb 12 16:30:36 UTC 2014,0.36,9,221,3,,
Wed Feb 12 16:30:53 UTC 2014,0.36,9,221,3,,
Wed Feb 12 16:31:00 UTC 2014,0.36,9,221,3,,
Wed Feb 12 16:31:07 UTC 2014,0.36,7.3333,281,3,,
Wed Feb 12 16:31:14 UTC 2014,0.36,7.3333,281,3,,
Wed Feb 12 16:31:23 UTC 2014,0.36,7.3333,281,3,,
Wed Feb 12 16:31:30 UTC 2014,0.36,6.6667,304,3,,
Wed Feb 12 16:31:36 UTC 2014,0.36,6.6667,304,3,,
Wed Feb 12 16:31:47 UTC 2014,0.36,4,6,3,,
Wed Feb 12 16:32:01 UTC 2014,0.36,6,269,3,,
Wed Feb 12 16:32:10 UTC 2014,0.36,6,269,3,,
Wed Feb 12 16:32:24 UTC 2014,0.36,6,269,3,,
Wed Feb 12 16:32:35 UTC 2014,0.36,4.3333,286,3,,
Wed Feb 12 16:32:47 UTC 2014,0.36,7.6667,230,3,,
Wed Feb 12 16:32:55 UTC 2014,0.36,7.6667,230,3,,
Wed Feb 12 16:33:09 UTC 2014,0.36,6.6667,161,3,,
Wed Feb 12 16:33:19 UTC 2014,0.36,7,330,3,,
Wed Feb 12 16:33:30 UTC 2014,0.36,7,330,3,,
Wed Feb 12 16:33:41 UTC 2014,0.36,4.3333,81,3,,
Wed Feb 12 16:33:52 UTC 2014,0.36,4.3333,81,3,,
Wed Feb 12 16:34:04 UTC 2014,0.36,4.3333,81,3,,
Wed Feb 12 16:34:14 UTC 2014,0.36,7.3333,31,3,,
Wed Feb 12 16:34:32 UTC 2014,0.36,6.6667,320,3,,
Wed Feb 12 16:34:43 UTC 2014,0.36,4.3333,260,3,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:01 UTC 2014,0.36,4.3333,260,3,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:10 UTC 2014,0.36,4.3333,260,3,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:26 UTC 2014,0.36,12.6667,244,3,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:38 UTC 2014,0.36,6,176,3,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:53 UTC 2014,0.36,6,176,3,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:36:06 UTC 2014,0.36,6,176,3,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:36:17 UTC 2014,0.48,4,159,4,,
Wed Feb 12 16:36:27 UTC 2014,0.48,5.6667,96,4,,
Wed Feb 12 16:36:42 UTC 2014,0.48,5.6667,96,4,,
Wed Feb 12 16:36:54 UTC 2014,0.48,1.75,17,4,,
Wed Feb 12 16:37:05 UTC 2014,0.48,1.75,17,4,,
Wed Feb 12 16:37:25 UTC 2014,0.48,-0.25,-1,4,,
Wed Feb 12 16:37:44 UTC 2014,0.48,-0.25,-1,4,,
Wed Feb 12 16:37:52 UTC 2014,0.48,4.5,98,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:38:16 UTC 2014,0.48,5.75,230,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:38:27 UTC 2014,0.48,5.75,230,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:38:37 UTC 2014,0.48,5.75,230,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:38:50 UTC 2014,0.48,7.5,272,4,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:39:02 UTC 2014,0.6,7,277,5,,
Wed Feb 12 16:39:15 UTC 2014,0.6,7,277,5,,
Wed Feb 12 16:39:31 UTC 2014,0.6,7,277,5,,
Wed Feb 12 16:39:41 UTC 2014,0.6,7.5,4,5,,
Wed Feb 12 16:39:56 UTC 2014,0.6,7.8,347,5,,
Wed Feb 12 16:40:12 UTC 2014,0.6,7.8,347,5,,
Wed Feb 12 16:40:19 UTC 2014,0.6,7.8,347,5,,
Wed Feb 12 16:40:27 UTC 2014,0.6,6.8,202,5,,
Wed Feb 12 16:40:34 UTC 2014,0.6,6.8,202,5,,
Wed Feb 12 16:40:45 UTC 2014,0.6,6.8,202,5,,
Wed Feb 12 16:40:55 UTC 2014,0.6,6.8,202,5,,
Wed Feb 12 16:41:04 UTC 2014,0.6,6.8,202,5,,
Wed Feb 12 16:41:10 UTC 2014,0.6,8.6,335,5,,
Wed Feb 12 16:41:17 UTC 2014,0.6,8.6,335,5,,
Wed Feb 12 16:41:31 UTC 2014,0.6,7.4,339,5,,
Wed Feb 12 16:41:44 UTC 2014,0.6,7.4,339,5,,
Wed Feb 12 16:42:01 UTC 2014,0.6,1.4,1,5,,
Wed Feb 12 16:42:11 UTC 2014,0.6,1.4,1,5,,
Wed Feb 12 16:42:23 UTC 2014,0.6,1.4,1,5,,
Wed Feb 12 16:42:36 UTC 2014,0.6,3.2,56,5,,
Wed Feb 12 16:42:50 UTC 2014,0.6,7.2,258,5,,
Wed Feb 12 16:43:04 UTC 2014,0.6,7.2,258,5,,
Wed Feb 12 16:43:15 UTC 2014,0.6,7.2,258,5,,
Wed Feb 12 16:43:38 UTC 2014,0.6,127,55,5,,
Wed Feb 12 16:43:52 UTC 2014,0.6,127,55,5,,
Wed Feb 12 16:43:59 UTC 2014,0.6,5.8,89,5,,
Wed Feb 12 16:44:07 UTC 2014,0.6,6.6,77,5,,
Wed Feb 12 16:44:24 UTC 2014,0.6,6.6,77,5,,
Wed Feb 12 16:44:36 UTC 2014,0.6,7.6,245,5,,
Wed Feb 12 16:44:54 UTC 2014,0.6,7.6,245,5,,
Wed Feb 12 16:45:01 UTC 2014,0.6,7.6,245,5,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:24 UTC 2014,0.6,7.6,152,5,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:33 UTC 2014,0.6,6.8,152,5,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:52 UTC 2014,0.6,9.2,167,5,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:46:05 UTC 2014,0.6,9.2,167,5,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:46:18 UTC 2014,0.72,7,224,6,,
Wed Feb 12 16:46:33 UTC 2014,0.72,7,224,6,,
Wed Feb 12 16:46:44 UTC 2014,0.72,6,440,6,,
Wed Feb 12 16:46:53 UTC 2014,0.72,6,440,6,,
Wed Feb 12 16:47:08 UTC 2014,0.72,7,248,6,,
Wed Feb 12 16:47:18 UTC 2014,0.72,7,248,6,,
Wed Feb 12 16:47:28 UTC 2014,0.72,-0.1667,-1,6,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:47:43 UTC 2014,0.72,-0.1667,-1,6,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:47:55 UTC 2014,0.72,9.6667,257,6,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:06 UTC 2014,0.72,9.6667,257,6,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:16 UTC 2014,0.72,9.6667,257,6,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:26 UTC 2014,0.72,9.6667,257,6,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:40 UTC 2014,0.72,7.6667,255,6,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:56 UTC 2014,0.72,7.6667,255,6,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:49:07 UTC 2014,0.72,7.6667,255,6,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:49:20 UTC 2014,0.72,4.1667,155,6,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:49:30 UTC 2014,0.72,4.1667,155,6,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:49:44 UTC 2014,0.72,2.5,26,6,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:49:56 UTC 2014,0.72,2.5,26,6,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:50:11 UTC 2014,0.72,5.6,69,6,,
Wed Feb 12 16:50:22 UTC 2014,0.72,5.6,69,6,,
Wed Feb 12 16:50:29 UTC 2014,0.6,2,21,5,,
Wed Feb 12 16:50:38 UTC 2014,0.6,2,21,5,,
Wed Feb 12 16:50:50 UTC 2014,0.6,2,21,5,,
Wed Feb 12 16:51:09 UTC 2014,0.6,2.2,51,5,,
Wed Feb 12 16:51:16 UTC 2014,0.6,2.2,51,5,,
Wed Feb 12 16:51:30 UTC 2014,0.6,2.2,3,5,,
Wed Feb 12 16:51:48 UTC 2014,0.6,2.2,3,5,,
Wed Feb 12 16:51:56 UTC 2014,0.6,2.8,66,5,,
Wed Feb 12 16:52:08 UTC 2014,0.6,2.8,66,5,,
Wed Feb 12 16:52:14 UTC 2014,0.6,2.8,66,5,,
Wed Feb 12 16:52:21 UTC 2014,0.6,2.8,66,5,,
Wed Feb 12 16:52:37 UTC 2014,0.6,2.8,66,5,,
Wed Feb 12 16:52:47 UTC 2014,0.6,7.8,167,5,,
Wed Feb 12 16:53:04 UTC 2014,0.6,8.6,405,5,,
Wed Feb 12 16:53:13 UTC 2014,0.6,8.6,405,5,,
Wed Feb 12 16:53:30 UTC 2014,0.6,8,67,5,,
Wed Feb 12 16:53:39 UTC 2014,0.6,8,67,5,,
Wed Feb 12 16:53:54 UTC 2014,0.6,8,67,5,,
Wed Feb 12 16:54:03 UTC 2014,0.6,8,67,5,,
Wed Feb 12 16:54:20 UTC 2014,0.6,8.6,162,5,,
Wed Feb 12 16:54:26 UTC 2014,0.6,8.6,162,5,,
Wed Feb 12 16:54:34 UTC 2014,0.6,8.6,162,5,,
Wed Feb 12 16:54:43 UTC 2014,0.6,7.4,306,5,,
Wed Feb 12 16:54:50 UTC 2014,0.6,7.4,306,5,,
Wed Feb 12 16:55:08 UTC 2014,0.6,6.4,137,5,,
Wed Feb 12 16:55:15 UTC 2014,0.6,6.4,137,5,,
Wed Feb 12 16:55:30 UTC 2014,0.6,6.4,137,5,,
Wed Feb 12 16:55:45 UTC 2014,0.6,6.4,137,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:55:59 UTC 2014,0.6,5.4,31,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:56:15 UTC 2014,0.6,6.4,39,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:56:33 UTC 2014,0.6,6.4,39,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:56:45 UTC 2014,0.6,7.6,287,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:56:57 UTC 2014,0.6,7.6,287,5,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Wed Feb 12 16:57:10 UTC 2014,0.6,0,0,5,,
Wed Feb 12 16:57:28 UTC 2014,0.6,0,0,5,,
Wed Feb 12 16:57:34 UTC 2014,0.6,0,0,5,,
Wed Feb 12 16:57:41 UTC 2014,0.6,0,0,5,,
Wed Feb 12 16:57:49 UTC 2014,0.6,0,0,5,,
Wed Feb 12 16:57:56 UTC 2014,0.6,0,0,5,,
Wed Feb 12 16:58:02 UTC 2014,0.6,0,0,5,,
Wed Feb 12 16:58:22 UTC 2014,0.6,0,0,5,,
Wed Feb 12 16:58:40 UTC 2014,0.6,0,0,5,,
Wed Feb 12 16:58:54 UTC 2014,0.6,0,0,5,,
Wed Feb 12 16:59:09 UTC 2014,0.6,0,0,5,,
Wed Feb 12 16:59:23 UTC 2014,0.6,0,0,5,,
Wed Feb 12 16:59:32 UTC 2014,0.6,0,0,5,,
Wed Feb 12 16:59:50 UTC 2014,0.6,0,0,5,,
Wed Feb 12 16:59:56 UTC 2014,0.6,0,0,5,,
Wed Feb 12 17:00:03 UTC 2014,0.6,0,0,5,,
Wed Feb 12 17:00:17 UTC 2014,0.6,0,0,5,,
Wed Feb 12 17:00:24 UTC 2014,0.6,0,0,5,,
Wed Feb 12 17:00:32 UTC 2014,0.6,0,0,5,,
Wed Feb 12 17:00:43 UTC 2014,0.6,0,0,5,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:01:02 UTC 2014,0.6,0,0,5,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:01:14 UTC 2014,0.6,0,0,5,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:01:28 UTC 2014,0.6,0,0,5,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:01:42 UTC 2014,0.6,0,0,5,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:01:53 UTC 2014,0.6,0,0,5,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:02:05 UTC 2014,0.6,-0.2,-1,5,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:02:16 UTC 2014,0.6,-0.2,-1,5,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:02:27 UTC 2014,0.6,5,4,5,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:02:39 UTC 2014,0.6,5,4,5,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:02:53 UTC 2014,0.6,10.75,62,5,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:03:07 UTC 2014,0.6,10.75,62,5,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 17:03:18 UTC 2014,0.6,10.75,62,5,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
