Time ,cost ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:26:40 UTC 2014,0.12,32,1,,
Wed Feb 12 16:26:47 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:06 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:16 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:26 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:36 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:47 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:27:57 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:07 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:18 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:28 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:39 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:49 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:28:59 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:09 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:22 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:31 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:42 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:29:53 UTC 2014,0.12,0,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:30:08 UTC 2014,0.12,30,1,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Wed Feb 12 16:30:24 UTC 2014,0.12,30,1,,
Wed Feb 12 16:30:31 UTC 2014,0.12,51,1,,
Wed Feb 12 16:30:45 UTC 2014,0.12,51,1,,
Wed Feb 12 16:30:56 UTC 2014,0.12,51,1,,
Wed Feb 12 16:31:12 UTC 2014,0.12,332,1,,
Wed Feb 12 16:31:19 UTC 2014,0.12,444,1,,
Wed Feb 12 16:31:34 UTC 2014,0.12,444,1,,
Wed Feb 12 16:31:48 UTC 2014,0.12,29,1,,
Wed Feb 12 16:31:59 UTC 2014,0.12,182,1,,
Wed Feb 12 16:32:11 UTC 2014,0.12,182,1,,
Wed Feb 12 16:32:21 UTC 2014,0.12,182,1,,
Wed Feb 12 16:32:37 UTC 2014,0.12,214,1,,
Wed Feb 12 16:32:45 UTC 2014,0.12,186,1,,
Wed Feb 12 16:32:59 UTC 2014,0.12,186,1,,
Wed Feb 12 16:33:09 UTC 2014,0.12,305,1,,
Wed Feb 12 16:33:15 UTC 2014,0.12,464,1,,
Wed Feb 12 16:33:32 UTC 2014,0.12,464,1,,
Wed Feb 12 16:33:40 UTC 2014,0.12,226,1,,
Wed Feb 12 16:33:55 UTC 2014,0.12,226,1,,
Wed Feb 12 16:34:02 UTC 2014,0.12,226,1,,
Wed Feb 12 16:34:15 UTC 2014,0.12,154,1,,
Wed Feb 12 16:34:31 UTC 2014,0.12,29,1,,
Wed Feb 12 16:34:44 UTC 2014,0.12,79,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:34:58 UTC 2014,0.12,79,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:09 UTC 2014,0.12,79,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:21 UTC 2014,0.12,37,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:32 UTC 2014,0.12,37,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:45 UTC 2014,0.12,219,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:35:56 UTC 2014,0.12,219,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:36:11 UTC 2014,0.12,212,1,,
Wed Feb 12 16:36:23 UTC 2014,0.12,212,1,,
Wed Feb 12 16:36:35 UTC 2014,0.12,10,1,,
Wed Feb 12 16:36:47 UTC 2014,0.12,0,1,,
Wed Feb 12 16:37:02 UTC 2014,0.12,0,1,,
Wed Feb 12 16:37:12 UTC 2014,0.12,0,1,,
Wed Feb 12 16:37:19 UTC 2014,0.12,0,1,,
Wed Feb 12 16:37:26 UTC 2014,0.12,0,1,,
Wed Feb 12 16:37:39 UTC 2014,0.12,0,1,,
Wed Feb 12 16:37:56 UTC 2014,0.12,171,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:38:12 UTC 2014,0.12,12,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:38:22 UTC 2014,0.12,12,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:38:34 UTC 2014,0.12,12,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:38:50 UTC 2014,0.12,291,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:39:00 UTC 2014,0.12,291,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:39:10 UTC 2014,0.12,106,1,,
Wed Feb 12 16:39:20 UTC 2014,0.12,106,1,,
Wed Feb 12 16:39:38 UTC 2014,0.12,106,1,,
Wed Feb 12 16:39:47 UTC 2014,0.12,49,1,,
Wed Feb 12 16:39:59 UTC 2014,0.12,49,1,,
Wed Feb 12 16:40:08 UTC 2014,0.12,331,1,,
Wed Feb 12 16:40:20 UTC 2014,0.12,331,1,,
Wed Feb 12 16:40:29 UTC 2014,0.12,310,1,,
Wed Feb 12 16:40:48 UTC 2014,0.12,310,1,,
Wed Feb 12 16:41:01 UTC 2014,0.12,310,1,,
Wed Feb 12 16:41:13 UTC 2014,0.12,335,1,,
Wed Feb 12 16:41:24 UTC 2014,0.12,335,1,,
Wed Feb 12 16:41:37 UTC 2014,0.12,452,1,,
Wed Feb 12 16:41:49 UTC 2014,0.12,16,1,,
Wed Feb 12 16:42:09 UTC 2014,0.12,16,1,,
Wed Feb 12 16:42:17 UTC 2014,0.12,16,1,,
Wed Feb 12 16:42:29 UTC 2014,0.12,244,1,,
