Time ,pendingRequests ,throughput ,responseTime , ongoingAction, targetedNodeID
1423143790954,64.0,26.0,732.0,EventProcessingUnit,ScaleOut,
1423143795953,32.0,54.0,998.0,EventProcessingUnit,ScaleOut,
1423143800955,47.0,36.0,818.3333,EventProcessingUnit,ScaleOut,
1423143805963,55.0,37.0,800.6667,EventProcessingUnit,ScaleOut,
1423143810959,65.0,25.0,683.3333,EventProcessingUnit,ScaleOut,
1423143815961,43.0,42.0,967.3333,EventProcessingUnit,ScaleOut,
1423143820966,44.0,38.0,842.3333,EventProcessingUnit,ScaleOut,
1423143825969,59.0,30.0,766.0,EventProcessingUnit,ScaleOut,
1423143830969,29.0,57.0,957.6667,EventProcessingUnit,ScaleOut,
1423143835969,59.0,28.0,725.6667,EventProcessingUnit,ScaleOut,
1423143840972,48.0,37.0,888.6667,EventProcessingUnit,ScaleOut,
1423143845969,39.0,43.0,896.0,EventProcessingUnit,ScaleOut,
1423143850973,64.0,24.0,741.6667,EventProcessingUnit,ScaleOut,
1423143855970,33.0,53.0,1022.6667,EventProcessingUnit,ScaleOut,
1423143860978,51.0,33.0,801.3333,EventProcessingUnit,ScaleOut,
1423143865979,53.0,29.0,943.3333,EventProcessingUnit,ScaleOut,
1423143870979,35.0,46.0,919.0,EventProcessingUnit,ScaleOut,
1423143875981,66.0,22.0,692.0,EventProcessingUnit,ScaleOut,
1423143880981,42.0,45.0,975.6667,EventProcessingUnit,ScaleOut,
1423143885983,34.0,27.0,836.0,
1423143891001,43.0,27.0,764.3333,
1423143895998,23.0,40.0,933.3333,
1423143901000,23.0,40.0,933.3333,
1423143905999,40.0,29.0,815.3333,
1423143911000,26.0,35.0,937.3333,
1423143916000,48.0,17.0,686.3333,
1423143921000,33.0,32.0,962.6667,
1423143926003,31.0,27.0,894.3333,
1423143931004,104.0,78.0,802.5,
1423143936006,35.0,44.0,1140.0,
1423143941004,45.0,43.0,751.25,
1423143946003,62.0,30.0,753.25,
1423143951005,28.0,54.0,1033.5,
1423143956007,63.0,28.0,644.25,
1423143961004,47.0,40.0,944.75,
1423143966005,40.0,42.0,898.75,
1423143971007,69.0,18.0,694.75,
1423143976005,29.0,49.0,1092.25,
1423143981014,52.0,38.0,696.75,
1423143986015,55.0,35.0,854.25,
1423143991017,29.0,52.0,926.5,
1423143996015,69.0,22.0,646.25,
1423144001016,35.0,46.0,1107.25,
1423144006016,47.0,34.0,813.75,
1423144011016,60.0,27.0,814.75,
1423144016018,27.0,51.0,1075.0,
1423144021018,65.0,18.0,728.0,EventProcessingUnit,ScaleOut,
1423144026018,44.0,42.0,987.75,EventProcessingUnit,ScaleOut,
1423144031021,39.0,44.0,822.75,EventProcessingUnit,ScaleOut,
1423144036026,67.0,20.0,705.25,EventProcessingUnit,ScaleOut,
1423144041080,29.0,52.0,1090.5,EventProcessingUnit,ScaleOut,
1423144046049,54.0,28.0,720.5,EventProcessingUnit,ScaleOut,
1423144051056,55.0,38.0,818.5,EventProcessingUnit,ScaleOut,
1423144056058,31.0,51.0,887.75,EventProcessingUnit,ScaleOut,
1423144061058,69.0,21.0,682.25,EventProcessingUnit,ScaleOut,
1423144066060,33.0,50.0,1058.0,EventProcessingUnit,ScaleOut,
1423144071068,49.0,32.0,795.5,EventProcessingUnit,ScaleOut,
1423144076069,59.0,29.0,832.5,EventProcessingUnit,ScaleOut,
1423144081071,27.0,54.0,975.0,EventProcessingUnit,ScaleOut,
1423144086075,66.0,21.0,651.75,EventProcessingUnit,ScaleOut,
1423144091083,44.0,40.0,1011.0,EventProcessingUnit,ScaleOut,
1423144096082,38.0,37.0,895.25,EventProcessingUnit,ScaleOut,
1423144101081,69.0,19.0,687.25,EventProcessingUnit,ScaleOut,
1423144106084,29.0,45.0,1187.0,EventProcessingUnit,ScaleOut,
1423144111092,51.0,29.0,797.5,EventProcessingUnit,ScaleOut,
1423144116091,57.0,31.0,872.75,EventProcessingUnit,ScaleOut,
1423144121097,29.0,53.0,951.5,EventProcessingUnit,ScaleOut,
1423144126087,68.0,20.0,652.75,EventProcessingUnit,ScaleOut,
1423144131135,41.0,47.0,834.25,EventProcessingUnit,ScaleOut,
1423144136101,41.0,43.0,951.25,EventProcessingUnit,ScaleOut,
1423144141101,65.0,27.0,733.5,EventProcessingUnit,ScaleOut,
1423144146119,26.0,40.0,906.5,EventProcessingUnit,ScaleOut,
1423144151125,60.0,37.0,913.5,EventProcessingUnit,ScaleOut,
