Time ,cpu_idle ,connectionRate ,instance ,pendingRequests ,throughput ,responseTime , ongoingAction, targetedNodeID
1423143520841,90.6,0.0,1.0,25.0,7.0,741.0,
1423143525841,90.6,0.0,1.0,0.0,16.0,1875.0,
1423143530881,92.9,0.0,1.0,23.0,5.0,557.0,
1423143535849,92.9,0.0,1.0,19.0,11.0,901.0,
1423143540850,92.9,0.0,1.0,19.0,11.0,901.0,
1423143545843,92.9,0.0,1.0,27.0,1.0,551.0,
1423143550869,92.9,0.0,1.0,27.0,1.0,551.0,
1423143555847,92.9,0.0,1.0,13.0,15.0,1087.0,
1423143560848,92.9,0.0,1.0,10.0,16.0,799.0,
1423143565845,92.9,0.0,1.0,7.0,21.0,1191.0,
1423143570846,92.1,0.0,1.0,19.0,10.0,620.0,
1423143575850,92.1,0.0,1.0,21.0,12.0,780.0,
1423143580846,92.1,0.0,1.0,2.0,25.0,1039.0,
1423143585847,92.1,0.0,1.0,2.0,25.0,1039.0,
1423143590847,92.1,0.0,1.0,12.0,18.0,1055.0,
1423143595847,92.1,0.0,1.0,14.0,13.0,714.0,
1423143600848,92.1,0.0,1.0,14.0,13.0,714.0,EventProcessingUnit,ScaleOut,
1423143605855,92.1,0.0,1.0,1.0,23.0,1291.0,EventProcessingUnit,ScaleOut,
1423143610861,92.1,0.0,1.0,21.0,6.0,631.0,EventProcessingUnit,ScaleOut,
1423143615862,92.1,0.0,1.0,18.0,10.0,1022.0,EventProcessingUnit,ScaleOut,
1423143620864,92.1,0.0,1.0,6.0,21.0,911.0,EventProcessingUnit,ScaleOut,
1423143625871,92.1,0.0,1.0,30.0,1.0,500.0,EventProcessingUnit,ScaleOut,
1423143630878,92.1,0.0,1.0,10.0,19.0,1082.0,EventProcessingUnit,ScaleOut,
1423143635883,92.1,0.0,1.0,15.0,13.0,696.0,EventProcessingUnit,ScaleOut,
1423143640887,92.1,0.0,1.0,25.0,8.0,726.0,EventProcessingUnit,ScaleOut,
1423143645893,92.1,0.0,1.0,2.0,23.0,1278.0,EventProcessingUnit,ScaleOut,
1423143650896,92.1,0.0,1.0,23.0,6.0,569.0,EventProcessingUnit,ScaleOut,
1423143655896,92.1,0.0,1.0,17.0,12.0,981.0,EventProcessingUnit,ScaleOut,
1423143660902,92.5,0.0,1.0,8.0,17.0,958.0,EventProcessingUnit,ScaleOut,
1423143665915,92.5,0.0,1.0,30.0,2.0,522.0,EventProcessingUnit,ScaleOut,
1423143670908,92.5,0.0,1.0,7.0,25.0,1004.0,EventProcessingUnit,ScaleOut,
1423143675909,92.5,0.0,1.0,17.0,9.0,683.0,EventProcessingUnit,ScaleOut,
1423143680910,92.5,0.0,1.0,23.0,4.0,912.0,EventProcessingUnit,ScaleOut,
1423143685917,92.5,0.0,1.0,2.0,22.0,1211.0,EventProcessingUnit,ScaleOut,
1423143690919,92.5,0.0,1.0,27.0,3.0,499.0,EventProcessingUnit,ScaleOut,
1423143695924,92.5,0.0,1.0,13.0,17.0,1008.0,EventProcessingUnit,ScaleOut,
1423143700923,92.5,0.0,1.0,12.0,15.0,785.0,EventProcessingUnit,ScaleOut,
1423143705939,92.5,0.0,1.0,27.0,6.0,647.0,EventProcessingUnit,ScaleOut,
1423143710944,92.5,0.0,1.0,27.0,6.0,647.0,EventProcessingUnit,ScaleOut,
1423143715932,92.9,0.0,1.0,22.0,8.0,534.0,EventProcessingUnit,ScaleOut,
1423143720933,92.9,0.0,1.0,18.0,8.0,1058.0,EventProcessingUnit,ScaleOut,
1423143725938,92.9,0.0,1.0,6.0,22.0,879.0,EventProcessingUnit,ScaleOut,
1423143730933,92.9,0.0,1.0,29.0,1.0,505.0,EventProcessingUnit,ScaleOut,
1423143735943,92.9,0.0,1.0,11.0,20.0,1038.0,EventProcessingUnit,ScaleOut,
1423143740941,92.9,0.0,1.0,15.0,13.0,702.0,EventProcessingUnit,ScaleOut,
1423143745937,92.9,0.0,1.0,24.0,7.0,768.0,EventProcessingUnit,ScaleOut,
1423143750939,92.9,0.0,1.0,1.0,22.0,1304.0,EventProcessingUnit,ScaleOut,
1423143755941,92.9,0.0,1.0,25.0,5.0,534.0,EventProcessingUnit,ScaleOut,
1423143760941,92.9,0.0,1.0,15.0,14.0,1048.0,EventProcessingUnit,ScaleOut,
1423143765942,92.9,0.0,1.0,10.0,13.0,943.0,EventProcessingUnit,ScaleOut,
1423143770943,92.2,0.0,1.0,29.0,4.0,591.0,EventProcessingUnit,ScaleOut,
1423143775947,92.2,0.0,1.0,4.0,25.0,1128.0,EventProcessingUnit,ScaleOut,
1423143780949,92.2,0.0,1.0,4.0,25.0,1128.0,EventProcessingUnit,ScaleOut,
1423143785947,92.2,0.0,1.0,16.0,11.0,687.0,EventProcessingUnit,ScaleOut,
1423143790954,92.2,0.0,1.0,23.0,7.0,838.0,EventProcessingUnit,ScaleOut,
1423143795953,92.2,0.0,1.0,2.0,24.0,1080.0,EventProcessingUnit,ScaleOut,
1423143800955,92.2,0.0,1.0,25.0,5.0,537.0,EventProcessingUnit,ScaleOut,
1423143805963,92.2,0.0,1.0,14.0,15.0,1025.0,EventProcessingUnit,ScaleOut,
1423143810959,92.2,0.0,1.0,29.0,4.0,601.0,EventProcessingUnit,ScaleOut,
1423143815961,92.2,0.0,1.0,3.0,23.0,1262.0,EventProcessingUnit,ScaleOut,
1423143820966,92.2,0.0,1.0,21.0,6.0,633.0,EventProcessingUnit,ScaleOut,
1423143825969,92.2,0.0,1.0,19.0,12.0,874.0,EventProcessingUnit,ScaleOut,
1423143830969,92.2,0.0,1.0,6.0,22.0,914.0,EventProcessingUnit,ScaleOut,
1423143835969,92.2,0.0,1.0,31.0,1.0,519.0,EventProcessingUnit,ScaleOut,
1423143840972,92.2,0.0,1.0,9.0,22.0,1020.0,EventProcessingUnit,ScaleOut,
1423143845969,92.2,0.0,1.0,16.0,14.0,635.0,EventProcessingUnit,ScaleOut,
1423143850973,91.3,0.0,1.0,23.0,7.0,799.0,EventProcessingUnit,ScaleOut,
