Time ,cpu_idle ,connectionRate ,instance , ongoingAction, targetedNodeID
1423143640887,95.2,31.0,1.0,EventProcessingUnit,ScaleOut,
1423143645893,94.9,36.0,1.0,EventProcessingUnit,ScaleOut,
1423143650896,94.9,76.0,1.0,EventProcessingUnit,ScaleOut,
1423143655896,95.0,10.0,1.0,EventProcessingUnit,ScaleOut,
1423143660902,95.0,63.0,1.0,EventProcessingUnit,ScaleOut,
1423143665915,95.5,53.0,1.0,EventProcessingUnit,ScaleOut,
1423143670908,95.5,22.0,1.0,EventProcessingUnit,ScaleOut,
1423143675909,94.8,88.0,1.0,EventProcessingUnit,ScaleOut,
1423143680910,94.8,27.0,1.0,EventProcessingUnit,ScaleOut,
1423143685917,94.5,47.0,1.0,EventProcessingUnit,ScaleOut,
1423143690919,94.5,66.0,1.0,EventProcessingUnit,ScaleOut,
1423143695924,95.0,7.0,1.0,EventProcessingUnit,ScaleOut,
1423143700923,95.0,74.0,1.0,EventProcessingUnit,ScaleOut,
1423143705939,94.6,38.0,1.0,EventProcessingUnit,ScaleOut,
1423143710944,94.6,38.0,1.0,EventProcessingUnit,ScaleOut,
1423143715932,95.1,79.0,1.0,EventProcessingUnit,ScaleOut,
1423143720933,95.1,16.0,1.0,EventProcessingUnit,ScaleOut,
1423143725938,94.9,55.0,1.0,EventProcessingUnit,ScaleOut,
1423143730933,94.9,58.0,1.0,EventProcessingUnit,ScaleOut,
1423143735943,92.3,14.0,1.0,EventProcessingUnit,ScaleOut,
1423143740941,92.3,82.0,1.0,EventProcessingUnit,ScaleOut,
1423143745937,95.4,31.0,1.0,EventProcessingUnit,ScaleOut,
1423143750939,95.4,42.0,1.0,EventProcessingUnit,ScaleOut,
1423143755941,95.5,71.0,1.0,EventProcessingUnit,ScaleOut,
1423143760941,95.5,8.0,1.0,EventProcessingUnit,ScaleOut,
1423143765942,95.4,68.0,1.0,EventProcessingUnit,ScaleOut,
1423143770943,95.4,45.0,1.0,EventProcessingUnit,ScaleOut,
1423143775947,94.9,27.0,1.0,EventProcessingUnit,ScaleOut,
1423143780949,94.9,27.0,1.0,EventProcessingUnit,ScaleOut,
1423143785947,94.9,84.0,1.0,EventProcessingUnit,ScaleOut,
1423143790954,95.0,28.0,1.0,EventProcessingUnit,ScaleOut,
1423143795953,95.0,43.0,1.0,EventProcessingUnit,ScaleOut,
1423143800955,95.5,72.0,1.0,EventProcessingUnit,ScaleOut,
1423143805963,95.5,8.0,1.0,EventProcessingUnit,ScaleOut,
1423143810959,95.2,45.0,1.0,EventProcessingUnit,ScaleOut,
1423143815961,93.6,31.0,1.0,EventProcessingUnit,ScaleOut,
1423143820966,93.6,83.0,1.0,EventProcessingUnit,ScaleOut,
1423143825969,93.5,18.0,1.0,EventProcessingUnit,ScaleOut,
1423143830969,93.5,58.0,1.0,EventProcessingUnit,ScaleOut,
1423143835969,95.2,55.0,1.0,EventProcessingUnit,ScaleOut,
1423143840972,95.2,16.0,1.0,EventProcessingUnit,ScaleOut,
1423143845969,95.2,83.0,1.0,EventProcessingUnit,ScaleOut,
1423143850973,95.2,31.0,1.0,EventProcessingUnit,ScaleOut,
1423143855970,95.2,44.0,1.0,EventProcessingUnit,ScaleOut,
1423143860978,95.2,69.0,1.0,EventProcessingUnit,ScaleOut,
1423143865979,95.0,8.0,1.0,EventProcessingUnit,ScaleOut,
1423143870979,95.0,71.0,1.0,EventProcessingUnit,ScaleOut,
1423143875981,92.4,42.0,1.0,EventProcessingUnit,ScaleOut,
1423143880981,92.4,31.0,1.0,EventProcessingUnit,ScaleOut,
1423143885983,94.7,81.0,1.0,
1423143891001,94.7,14.0,1.0,
1423143895998,95.5,59.0,1.0,
1423143901000,95.5,59.0,1.0,
1423143905999,93.2,9.0,1.0,
1423143911000,93.2,69.0,1.0,
1423143916000,92.3,45.0,1.0,
1423143921000,92.3,26.0,1.0,
1423143926003,94.4,88.0,1.0,
1423143931004,94.4,34.0,1.0,
1423143936006,94.1,39.0,1.0,
1423143941004,94.1,74.0,1.0,
1423143946003,91.7,12.0,1.0,
1423143951005,91.7,61.0,1.0,
1423143956007,91.7,51.0,1.0,
1423143961004,91.7,27.0,1.0,
1423143966005,95.0,83.0,1.0,
1423143971007,95.0,25.0,1.0,
1423143976005,95.0,48.0,1.0,
1423143981014,95.0,63.0,1.0,
1423143986015,95.5,11.0,1.0,
1423143991017,95.5,77.0,1.0,
1423143996015,95.9,37.0,1.0,
1423144001016,95.9,39.0,1.0,
1423144006016,94.9,73.0,1.0,
1423144011016,94.9,9.0,1.0,
1423144016018,95.1,65.0,1.0,
1423144021018,95.1,47.0,1.0,EventProcessingUnit,ScaleOut,
1423144026018,95.8,27.0,1.0,EventProcessingUnit,ScaleOut,
1423144031021,95.8,88.0,1.0,EventProcessingUnit,ScaleOut,
1423144036026,95.0,26.0,1.0,EventProcessingUnit,ScaleOut,
1423144041080,95.0,50.0,1.0,EventProcessingUnit,ScaleOut,
1423144046049,93.3,64.0,1.0,EventProcessingUnit,ScaleOut,
1423144051056,93.3,13.0,1.0,EventProcessingUnit,ScaleOut,
1423144056058,88.8,79.0,1.0,EventProcessingUnit,ScaleOut,
1423144061058,88.8,34.0,1.0,EventProcessingUnit,ScaleOut,
1423144066060,95.4,43.0,1.0,EventProcessingUnit,ScaleOut,
1423144071068,95.4,70.0,1.0,EventProcessingUnit,ScaleOut,
1423144076069,94.4,7.0,1.0,EventProcessingUnit,ScaleOut,
1423144081071,94.4,69.0,1.0,EventProcessingUnit,ScaleOut,
1423144086075,95.6,46.0,1.0,EventProcessingUnit,ScaleOut,
1423144091083,95.6,27.0,1.0,EventProcessingUnit,ScaleOut,
1423144096082,95.3,80.0,1.0,EventProcessingUnit,ScaleOut,
1423144101081,95.3,29.0,1.0,EventProcessingUnit,ScaleOut,
1423144106084,95.1,45.0,1.0,EventProcessingUnit,ScaleOut,
1423144111092,95.1,67.0,1.0,EventProcessingUnit,ScaleOut,
1423144116091,93.3,8.0,1.0,EventProcessingUnit,ScaleOut,
1423144121097,93.3,70.0,1.0,EventProcessingUnit,ScaleOut,
1423144126087,87.6,44.0,1.0,EventProcessingUnit,ScaleOut,
1423144131135,87.6,30.0,1.0,EventProcessingUnit,ScaleOut,
1423144136101,95.3,84.0,1.0,EventProcessingUnit,ScaleOut,
1423144141101,95.3,19.0,1.0,EventProcessingUnit,ScaleOut,
1423144146119,95.4,55.0,1.0,EventProcessingUnit,ScaleOut,
1423144151125,95.4,59.0,1.0,EventProcessingUnit,ScaleOut,
1423144156138,94.5,15.0,1.0,EventProcessingUnit,ScaleOut,
1423144161142,94.5,78.0,1.0,EventProcessingUnit,ScaleOut,
1423144166130,94.2,41.0,1.0,EventProcessingUnit,ScaleOut,
1423144171131,94.2,36.0,1.0,EventProcessingUnit,ScaleOut,
1423144176136,94.8,77.0,1.0,EventProcessingUnit,ScaleOut,
1423144181138,94.8,12.0,1.0,EventProcessingUnit,ScaleOut,
1423144186137,94.8,60.0,1.0,EventProcessingUnit,ScaleOut,
1423144191136,94.8,53.0,1.0,EventProcessingUnit,ScaleOut,
1423144196134,94.9,19.0,1.0,EventProcessingUnit,ScaleOut,
1423144201136,94.9,84.0,1.0,EventProcessingUnit,ScaleOut,
1423144206138,95.1,31.0,1.0,EventProcessingUnit,ScaleOut,
1423144211144,95.1,46.0,1.0,EventProcessingUnit,ScaleOut,
1423144216143,92.1,67.0,1.0,EventProcessingUnit,ScaleOut,
1423144221158,92.1,10.0,1.0,EventProcessingUnit,ScaleOut,
1423144226152,94.9,73.0,1.0,EventProcessingUnit,ScaleOut,
1423144231152,94.9,40.0,1.0,EventProcessingUnit,ScaleOut,
1423144236152,95.6,22.0,1.0,EventProcessingUnit,ScaleOut,
1423144241152,95.6,87.0,1.0,EventProcessingUnit,ScaleOut,
1423144246153,95.3,26.0,1.0,EventProcessingUnit,ScaleOut,
1423144251159,95.3,51.0,1.0,EventProcessingUnit,ScaleOut,
1423144256159,93.5,61.0,1.0,EventProcessingUnit,ScaleOut,
1423144261159,93.5,15.0,1.0,EventProcessingUnit,ScaleOut,
1423144266161,94.5,80.0,1.0,EventProcessingUnit,ScaleOut,
1423144271168,94.5,33.0,1.0,EventProcessingUnit,ScaleOut,
1423144276161,95.2,43.0,1.0,EventProcessingUnit,ScaleOut,
1423144281205,95.2,70.0,1.0,EventProcessingUnit,ScaleOut,
1423144286174,95.2,70.0,1.0,EventProcessingUnit,ScaleOut,
