Time ,cost , ongoingAction, targetedNodeID
1423144616807,0.0556,EventProcessingUnit,ScaleOut,
1423144621814,0.0639,EventProcessingUnit,ScaleOut,
1423144626823,0.0752,EventProcessingUnit,ScaleOut,
1423144631825,0.0532,EventProcessingUnit,ScaleOut,
1423144636830,0.0673,EventProcessingUnit,ScaleOut,
1423144641835,0.0752,EventProcessingUnit,ScaleOut,
1423144646832,0.0511,EventProcessingUnit,ScaleOut,
1423144651834,0.0881,EventProcessingUnit,ScaleOut,
1423144656837,0.0568,EventProcessingUnit,ScaleOut,
1423144661840,0.0752,EventProcessingUnit,ScaleOut,
1423144666842,0.073,EventProcessingUnit,ScaleOut,
1423144671842,0.0556,EventProcessingUnit,ScaleOut,
1423144676842,0.0752,EventProcessingUnit,ScaleOut,
1423144681844,0.0639,EventProcessingUnit,ScaleOut,
1423144686855,0.0623,EventProcessingUnit,ScaleOut,
1423144691878,0.073,EventProcessingUnit,ScaleOut,
1423144696878,0.0608,EventProcessingUnit,ScaleOut,
1423144701883,0.0799,EventProcessingUnit,ScaleOut,
1423144706885,0.073,EventProcessingUnit,ScaleOut,
1423144711890,0.0623,EventProcessingUnit,ScaleOut,
1423144716889,0.0799,EventProcessingUnit,ScaleOut,
1423144721919,0.0608,EventProcessingUnit,ScaleOut,
1423144726896,0.0799,EventProcessingUnit,ScaleOut,
1423144731904,0.0673,EventProcessingUnit,ScaleOut,
1423144736901,0.0581,EventProcessingUnit,ScaleOut,
1423144741910,0.0881,EventProcessingUnit,ScaleOut,
1423144746911,0.0608,EventProcessingUnit,ScaleOut,
1423144751912,0.071,EventProcessingUnit,ScaleOut,
1423144756912,0.1345,EventProcessingUnit,ScaleOut,
1423144761918,0.0532,EventProcessingUnit,ScaleOut,
1423144766919,0.0691,EventProcessingUnit,ScaleOut,
1423144771933,0.0752,EventProcessingUnit,ScaleOut,
1423144776928,0.0532,EventProcessingUnit,ScaleOut,
1423144781929,0.0774,EventProcessingUnit,ScaleOut,
1423144786932,0.0544,EventProcessingUnit,ScaleOut,
1423144791937,0.0655,EventProcessingUnit,ScaleOut,
1423144796943,0.0752,EventProcessingUnit,ScaleOut,
1423144801950,0.0532,EventProcessingUnit,ScaleOut,
1423144806953,0.0774,EventProcessingUnit,ScaleOut,
1423144811962,0.0673,EventProcessingUnit,ScaleOut,
1423144816963,0.0581,EventProcessingUnit,ScaleOut,
1423144821995,0.0983,EventProcessingUnit,ScaleOut,
1423144826998,0.0568,
1423144832000,0.0875,
1423144837009,0.107,
1423144842001,0.0825,
1423144847002,0.1111,
1423144852004,0.0875,
1423144857002,0.085,
1423144862003,0.1111,
1423144867029,0.0802,
1423144872009,0.1156,
1423144877009,0.1032,
1423144882018,0.0722,
1423144887010,0.1111,
1423144892011,0.0996,
1423144897019,0.0825,
1423144902011,0.1256,
1423144907012,0.0802,
1423144912014,0.0875,
1423144917014,0.1204,
1423144922013,0.0722,
1423144927027,0.0267,
1423144932014,0.0802,
1423144937014,0.076,
1423144942013,0.0802,
1423144947029,0.0556,EventProcessingUnit,ScaleOut,
1423144952021,0.1256,EventProcessingUnit,ScaleOut,
1423144957023,0.0932,EventProcessingUnit,ScaleOut,
1423144962038,0.0545,EventProcessingUnit,ScaleOut,
1423144967034,0.1444,EventProcessingUnit,ScaleOut,
1423144972030,0.0672,EventProcessingUnit,ScaleOut,
1423144977025,0.0825,EventProcessingUnit,ScaleOut,
1423144982047,0.1111,EventProcessingUnit,ScaleOut,
1423144987038,0.0545,EventProcessingUnit,ScaleOut,
1423144992040,0.1111,EventProcessingUnit,ScaleOut,
1423144997107,0.085,EventProcessingUnit,ScaleOut,
1423145002066,0.0602,EventProcessingUnit,ScaleOut,
1423145007057,0.1156,EventProcessingUnit,ScaleOut,
1423145012057,0.0615,EventProcessingUnit,ScaleOut,
1423145017057,0.0628,EventProcessingUnit,ScaleOut,
1423145022057,0.1032,EventProcessingUnit,ScaleOut,
1423145027057,0.0578,EventProcessingUnit,ScaleOut,
1423145032060,0.076,EventProcessingUnit,ScaleOut,
1423145037059,0.0996,EventProcessingUnit,ScaleOut,
1423145042061,0.0556,EventProcessingUnit,ScaleOut,
1423145047064,0.1111,EventProcessingUnit,ScaleOut,
1423145052064,0.076,EventProcessingUnit,ScaleOut,
1423145057063,0.0672,EventProcessingUnit,ScaleOut,
1423145062069,0.1156,EventProcessingUnit,ScaleOut,
1423145067063,0.0545,EventProcessingUnit,ScaleOut,
1423145072064,0.1111,EventProcessingUnit,ScaleOut,
1423145077066,0.0802,EventProcessingUnit,ScaleOut,
1423145082066,0.0672,EventProcessingUnit,ScaleOut,
1423145087067,0.1256,EventProcessingUnit,ScaleOut,
1423145092065,0.0722,EventProcessingUnit,ScaleOut,
1423145097066,0.0705,EventProcessingUnit,ScaleOut,
1423145102066,0.1204,EventProcessingUnit,ScaleOut,
1423145107076,0.0516,EventProcessingUnit,ScaleOut,
1423145112075,0.1256,EventProcessingUnit,ScaleOut,
1423145117078,0.076,EventProcessingUnit,ScaleOut,
1423145122077,0.0672,EventProcessingUnit,ScaleOut,
1423145127085,0.1313,EventProcessingUnit,ScaleOut,
1423145132094,0.0556,EventProcessingUnit,ScaleOut,
1423145137093,0.085,EventProcessingUnit,ScaleOut,
1423145142097,0.1204,EventProcessingUnit,ScaleOut,
1423145147107,0.0556,EventProcessingUnit,ScaleOut,
1423145152118,0.1204,EventProcessingUnit,ScaleOut,
1423145157119,0.0722,EventProcessingUnit,ScaleOut,
1423145162118,0.0615,EventProcessingUnit,ScaleOut,
1423145167128,0.1156,EventProcessingUnit,ScaleOut,
1423145172123,0.0578,EventProcessingUnit,ScaleOut,
1423145177123,0.0903,EventProcessingUnit,ScaleOut,
1423145182130,0.1032,EventProcessingUnit,ScaleOut,
1423145187135,0.0556,EventProcessingUnit,ScaleOut,
1423145192137,0.1111,EventProcessingUnit,ScaleOut,
1423145197137,0.0688,EventProcessingUnit,ScaleOut,
1423145202138,0.0705,EventProcessingUnit,ScaleOut,
1423145207137,0.1156,EventProcessingUnit,ScaleOut,
1423145212139,0.0578,EventProcessingUnit,ScaleOut,
1423145217139,0.107,EventProcessingUnit,ScaleOut,
1423145222143,0.085,EventProcessingUnit,ScaleOut,
1423145227141,0.0615,EventProcessingUnit,ScaleOut,
1423145232142,0.1444,EventProcessingUnit,ScaleOut,
1423145237143,0.0628,EventProcessingUnit,ScaleOut,
1423145242148,0.0781,EventProcessingUnit,ScaleOut,
1423145247146,0.0963,EventProcessingUnit,ScaleOut,
1423145252147,0.0556,EventProcessingUnit,ScaleOut,
1423145257148,0.1204,EventProcessingUnit,ScaleOut,
1423145262148,0.0848,
1423145267153,0.0848,
1423145272162,0.1343,
1423145277166,0.0806,
1423145282164,0.1343,
1423145287165,0.1193,
1423145292165,0.0806,
1423145297166,0.1239,
1423145302166,0.0644,
1423145307168,0.0732,
1423145312169,0.1289,
1423145317183,0.0671,
1423145322185,0.1239,
1423145327187,0.0848,
1423145332197,0.0848,
1423145337194,0.1534,EventProcessingUnit,ScaleOut,
1423145342196,0.0786,EventProcessingUnit,ScaleOut,
1423145347198,0.0806,EventProcessingUnit,ScaleOut,
1423145352198,0.1111,EventProcessingUnit,ScaleOut,
1423145357203,0.0732,EventProcessingUnit,ScaleOut,
1423145362203,0.1039,EventProcessingUnit,ScaleOut,
1423145367204,0.1111,EventProcessingUnit,ScaleOut,
1423145372206,0.0686,EventProcessingUnit,ScaleOut,
1423145377204,0.1151,EventProcessingUnit,ScaleOut,
1423145382210,0.0732,EventProcessingUnit,ScaleOut,
1423145387216,0.0848,EventProcessingUnit,ScaleOut,
1423145392223,0.0948,EventProcessingUnit,ScaleOut,
1423145397225,0.0644,EventProcessingUnit,ScaleOut,
1423145402230,0.1343,EventProcessingUnit,ScaleOut,
1423145407233,0.0767,EventProcessingUnit,ScaleOut,
1423145412235,0.0732,EventProcessingUnit,ScaleOut,
1423145417244,0.1289,EventProcessingUnit,ScaleOut,
1423145422253,0.0671,EventProcessingUnit,ScaleOut,
1423145427257,0.0871,EventProcessingUnit,ScaleOut,
1423145432260,0.1111,EventProcessingUnit,ScaleOut,
1423145437266,0.0686,EventProcessingUnit,ScaleOut,
1423145442273,0.1151,EventProcessingUnit,ScaleOut,
1423145447280,0.0848,EventProcessingUnit,ScaleOut,
1423145452288,0.0767,EventProcessingUnit,ScaleOut,
1423145457291,0.1289,EventProcessingUnit,ScaleOut,
1423145462296,0.0686,EventProcessingUnit,ScaleOut,
1423145467294,0.1007,EventProcessingUnit,ScaleOut,
1423145472301,0.0921,EventProcessingUnit,ScaleOut,
1423145477296,0.0732,EventProcessingUnit,ScaleOut,
1423145482297,0.1465,EventProcessingUnit,ScaleOut,
1423145487296,0.0806,EventProcessingUnit,ScaleOut,
1423145492295,0.0806,EventProcessingUnit,ScaleOut,
1423145497304,0.1111,EventProcessingUnit,ScaleOut,
1423145502307,0.0644,EventProcessingUnit,ScaleOut,
1423145507307,0.1465,EventProcessingUnit,ScaleOut,
1423145512307,0.0976,EventProcessingUnit,ScaleOut,
1423145517306,0.0732,EventProcessingUnit,ScaleOut,
1423145522307,0.1696,EventProcessingUnit,ScaleOut,
1423145527309,0.0686,EventProcessingUnit,ScaleOut,
1423145532313,0.0826,EventProcessingUnit,ScaleOut,
