Time ,connectionRate ,cpuUsage ,instances ,cost , ongoingAction, targetedNodeID
1423143635883,83.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143640887,31.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143645893,36.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143650896,76.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143655896,10.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143660902,63.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143665915,53.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143670908,22.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143675909,88.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143680910,27.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143685917,47.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143690919,66.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143695924,7.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143700923,74.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143705939,38.0,5.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143710944,38.0,5.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143715932,79.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143720933,16.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143725938,55.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143730933,58.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143735943,14.0,7.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143740941,82.0,7.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143745937,31.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143750939,42.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143755941,71.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143760941,8.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143765942,68.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143770943,45.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143775947,27.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143780949,27.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143785947,84.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143790954,28.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143795953,43.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143800955,72.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143805963,8.0,4.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143810959,45.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143815961,31.0,6.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143820966,83.0,6.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143825969,18.0,6.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143830969,58.0,6.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143835969,55.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143840972,16.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143845969,83.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143850973,31.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143855970,44.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143860978,69.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143865979,8.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143870979,71.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143875981,42.0,7.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143880981,31.0,7.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423143885983,81.0,5.3,1.0,0.32,
1423143891001,14.0,5.3,1.0,0.32,
1423143895998,59.0,4.5,1.0,0.32,
1423143901000,59.0,4.5,1.0,0.32,
1423143905999,9.0,6.8,1.0,0.32,
1423143911000,69.0,6.8,1.0,0.32,
1423143916000,45.0,7.7,1.0,0.32,
1423143921000,26.0,7.7,1.0,0.32,
1423143926003,88.0,5.6,1.0,0.32,
1423143931004,34.0,5.6,1.0,0.32,
1423143936006,39.0,5.9,1.0,0.32,
1423143941004,74.0,5.9,1.0,0.32,
1423143946003,12.0,8.3,1.0,0.32,
1423143951005,61.0,8.3,1.0,0.32,
1423143956007,51.0,8.3,1.0,0.32,
1423143961004,27.0,8.3,1.0,0.32,
1423143966005,83.0,5.0,1.0,0.32,
1423143971007,25.0,5.0,1.0,0.32,
1423143976005,48.0,5.0,1.0,0.32,
1423143981014,63.0,5.0,1.0,0.32,
1423143986015,11.0,4.5,1.0,0.32,
1423143991017,77.0,4.5,1.0,0.32,
1423143996015,37.0,4.1,1.0,0.32,
1423144001016,39.0,4.1,1.0,0.32,
1423144006016,73.0,5.1,1.0,0.32,
1423144011016,9.0,5.1,1.0,0.32,
1423144016018,65.0,4.9,1.0,0.32,
1423144021018,47.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144026018,27.0,4.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144031021,88.0,4.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144036026,26.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144041080,50.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144046049,64.0,6.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144051056,13.0,6.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144056058,79.0,11.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144061058,34.0,11.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144066060,43.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144071068,70.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144076069,7.0,5.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144081071,69.0,5.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144086075,46.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144091083,27.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144096082,80.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144101081,29.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144106084,45.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144111092,67.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144116091,8.0,6.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144121097,70.0,6.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144126087,44.0,12.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144131135,30.0,12.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144136101,84.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144141101,19.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144146119,55.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144151125,59.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144156138,15.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144161142,78.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144166130,41.0,5.8,1.0,0.32,EventProcessingUnit,ScaleOut,
